Page,Type,Confidence,Category,Element,Detail,Evidence
"https://www.krishaweb.com/","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/","advisory","confirmed","External Links Without noopener","","16 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/about-us","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/about-us","advisory","confirmed","External Links Without noopener","","12 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/our-process","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/our-process","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/team","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/team","advisory","confirmed","External Links Without noopener","","11 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/career","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/career","advisory","confirmed","External Links Without noopener","","11 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/capabilities","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/capabilities","advisory","confirmed","External Links Without noopener","","19 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/news/wordpress-vip-selects-krishaweb-as-its-silver-agency-partner","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/news/wordpress-vip-selects-krishaweb-as-its-silver-agency-partner","advisory","confirmed","External Links Without noopener","","16 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/news/important-takeaway-from-imagine-commerce-2015","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/news/important-takeaway-from-imagine-commerce-2015","advisory","confirmed","External Links Without noopener","","16 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/news/meet-us-at-magentos-imagine-commerce-2015-at-las-vegas","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/news/meet-us-at-magentos-imagine-commerce-2015-at-las-vegas","advisory","confirmed","External Links Without noopener","","16 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/ai-solutions-agency","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/ai-solutions-agency","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/web-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/web-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/cms-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/cms-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/ecommerce-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/ecommerce-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/software-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/software-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/gohighlevel-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/gohighlevel-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/digital-transformation","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/digital-transformation","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/it-staff-augmentation","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/it-staff-augmentation","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/it-consulting","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/it-consulting","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/wordpress-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/wordpress-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/webflow-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/webflow-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/wix-website-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/wix-website-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/drupal-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/drupal-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/shopify-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/shopify-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/laravel-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/laravel-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/hire-wordpress-developer","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/hire-wordpress-developer","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/hire-drupal-developer","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/hire-drupal-developer","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/hire-webflow-developer","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/hire-webflow-developer","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/hire-dedicated-php-developer","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/hire-dedicated-php-developer","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/hire-laravel-developer","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/hire-laravel-developer","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/hire-reactjs-developer","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/hire-reactjs-developer","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/hire-front-end-developer","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/hire-front-end-developer","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/woocommerce-developer","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/woocommerce-developer","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/hire-shopify-developer","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/hire-shopify-developer","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/hire-magento-developer","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/hire-magento-developer","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/web-design","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/web-design","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/ux-design-services","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/ux-design-services","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/product-design","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/product-design","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/brand-identity","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/brand-identity","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/inbound-marketing","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/inbound-marketing","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/seo","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/seo","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/social-media-marketing","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/social-media-marketing","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/paid-advertising","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/paid-advertising","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/content-marketing","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/content-marketing","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/software-solutions","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/software-solutions","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/crm-software-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/crm-software-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/erp-software-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/erp-software-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/elearning-solutions","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/elearning-solutions","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/web-portal-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/web-portal-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/supply-chain-software-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/supply-chain-software-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/financial-software-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/financial-software-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/industries-we-serve","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/industries-we-serve","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/education-website-design-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/education-website-design-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/healthcare-it-solutions","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/healthcare-it-solutions","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/manufacturing-it-solutions","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
