Page,Type,Confidence,Category,Element,Detail,Evidence
"https://www.krishaweb.com/manufacturing-it-solutions","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/government-it-solutions","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/government-it-solutions","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/retail-it-solutions","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/retail-it-solutions","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/real-estate-it-solutions","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/real-estate-it-solutions","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/banking-and-finance-it-solutions","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/banking-and-finance-it-solutions","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/media-and-entertainment","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/media-and-entertainment","advisory","confirmed","External Links Without noopener","","11 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/case-studies","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/case-studies","advisory","confirmed","External Links Without noopener","","11 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/blog","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/blog","advisory","confirmed","External Links Without noopener","","11 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/news","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/news","advisory","confirmed","External Links Without noopener","","11 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/events","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/events","advisory","confirmed","External Links Without noopener","","13 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/downloads","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/downloads","advisory","confirmed","External Links Without noopener","","13 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/contact-us","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/contact-us","advisory","confirmed","External Links Without noopener","","13 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/works/ayj-solicitors","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/works/ayj-solicitors","advisory","confirmed","External Links Without noopener","","13 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/works/esstart","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/works/esstart","advisory","confirmed","External Links Without noopener","","14 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/works/gharpedia","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/works/gharpedia","advisory","confirmed","External Links Without noopener","","14 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/technology-consulting","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/technology-consulting","advisory","confirmed","External Links Without noopener","","14 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/reactjs-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/reactjs-development","advisory","confirmed","External Links Without noopener","","14 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/nodejs-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/nodejs-development","advisory","confirmed","External Links Without noopener","","14 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/php-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/php-development","advisory","confirmed","External Links Without noopener","","14 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/hubspot-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/hubspot-development","advisory","confirmed","External Links Without noopener","","14 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/woocommerce-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/woocommerce-development","advisory","confirmed","External Links Without noopener","","14 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/drupal-commerce","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/drupal-commerce","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/magento-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/magento-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/hire-dedicated-developers","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/hire-dedicated-developers","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/web-application-development","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/web-application-development","advisory","confirmed","External Links Without noopener","","15 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/privacy-policy","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/privacy-policy","advisory","confirmed","External Links Without noopener","","16 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/privacy-policy","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/privacy-policy","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/privacy-policy","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/privacy-policy","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/privacy-policy","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/privacy-policy","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/privacy-policy","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/careers/sales-executive","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/careers/sales-executive","advisory","confirmed","External Links Without noopener","","16 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/careers/sales-executive","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/careers/sales-executive","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/careers/sales-executive","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/careers/sales-executive","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/careers/sales-executive","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/careers/sales-executive","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/careers/sales-executive","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/ai-development-agency","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/ai-development-agency","advisory","confirmed","External Links Without noopener","","16 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/ai-development-agency","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/ai-development-agency","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/ai-development-agency","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/ai-development-agency","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/ai-development-agency","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/ai-development-agency","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/ai-development-agency","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/iso-9001-2015-certified-krishaweb","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/news/iso-9001-2015-certified-krishaweb","advisory","confirmed","External Links Without noopener","","16 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/news/iso-9001-2015-certified-krishaweb","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/iso-9001-2015-certified-krishaweb","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/iso-9001-2015-certified-krishaweb","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/iso-9001-2015-certified-krishaweb","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/iso-9001-2015-certified-krishaweb","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/iso-9001-2015-certified-krishaweb","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/iso-9001-2015-certified-krishaweb","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/cmmi-level-3-certified-krishaweb","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/news/cmmi-level-3-certified-krishaweb","advisory","confirmed","External Links Without noopener","","16 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/news/cmmi-level-3-certified-krishaweb","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/cmmi-level-3-certified-krishaweb","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/cmmi-level-3-certified-krishaweb","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/cmmi-level-3-certified-krishaweb","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/cmmi-level-3-certified-krishaweb","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/cmmi-level-3-certified-krishaweb","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/cmmi-level-3-certified-krishaweb","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/licenseflow-manager-wordpress-plugin","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/news/licenseflow-manager-wordpress-plugin","advisory","confirmed","External Links Without noopener","","16 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/news/licenseflow-manager-wordpress-plugin","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/licenseflow-manager-wordpress-plugin","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/licenseflow-manager-wordpress-plugin","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/licenseflow-manager-wordpress-plugin","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/licenseflow-manager-wordpress-plugin","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/licenseflow-manager-wordpress-plugin","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/licenseflow-manager-wordpress-plugin","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/krishaweb-17th-anniversary-celebration","bug","confirmed","Broken Link","https://themeforest.net/user/krishaweb","HTTP 403","Server returned HTTP 403 via GET request."
"https://www.krishaweb.com/news/krishaweb-17th-anniversary-celebration","advisory","confirmed","External Links Without noopener","","16 external link(s) use target=""_blank"" without rel=""noopener"".","Modern browsers handle this, but older browsers are vulnerable to reverse tabnabbing."
"https://www.krishaweb.com/news/krishaweb-17th-anniversary-celebration","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/krishaweb-17th-anniversary-celebration","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
"https://www.krishaweb.com/news/krishaweb-17th-anniversary-celebration","bug","confirmed","Empty Link","a","Link has no text, aria-label, title, or labeled image.","WCAG 2.1 SC 2.4.4 requires links to have a determinable purpose."
